motif_id	gene_id	TF_description	motif_family	ath_gene_id	ath_alias
M01616	Solyc12g049560.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2ZB67_CAPAN)	AP2	AT3G14230	RAP2.2
M01617	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M01617	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M01617	Solyc03g005520.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2WWE4_CAPBA)	AP2	AT3G23240	ATERF1
M01617	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M01617	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M01617	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M01617	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M01617	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M01617	Solyc05g013540.1	LEAFLESS	AP2	AT1G24590	DRN-LIKE
M01617	Solyc05g052030.1	ethylene response factor 4	AP2	AT5G07580	AT5G07580
M01617	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M01617	Solyc07g049490.3	Ethylene Response Factor F.3	AP2	AT3G20310	ATERF-7
M01617	Solyc07g053740.1	Ethylene Response Factor F.4	AP2	AT3G15210	ATERF-4
M01617	Solyc07g064890.1	Ethylene Response Factor F.2	AP2	AT1G50640	ATERF3
M01617	Solyc09g066340.1	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2X5X7_CAPBA)	AP2	AT1G04370	ATERF14
M01617	Solyc09g089930.3	ethylene responsive factor E.2	AP2	AT3G23240	ATERF1
M01617	Solyc10g006130.1	EAR motif SlERF36	AP2	AT1G50640	ATERF3
M01617	Solyc11g045680.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X995_CAPBA)	AP2	AT5G13910	LEP
M01617	Solyc11g045690.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X995_CAPBA)	AP2	AT1G28160	AT1G28160
M01618	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01618	Solyc09g066350.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X630_CAPBA)	AP2	AT3G23230	AtERF98
M01618	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M01618	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M01619	Solyc05g051200.1	ethylene-responsive factor 1	AP2	AT3G23240	ATERF1
M01619	Solyc01g067540.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3DID8_CAPCH)	AP2	AT5G18560	PUCHI
M01619	Solyc01g090300.2	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	AP2	AT2G44840	ATERF13
M01619	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M01619	Solyc01g090370.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XN61_CAPBA)	AP2	AT2G44840	ATERF13
M01619	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01619	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01619	Solyc03g005500.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT1G04370	ATERF14
M01619	Solyc03g005520.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2WWE4_CAPBA)	AP2	AT3G23240	ATERF1
M01619	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01619	Solyc04g014530.1	Ethylene Response Factor C.2	AP2	AT3G23240	ATERF1
M01619	Solyc05g013540.1	LEAFLESS	AP2	AT1G24590	DRN-LIKE
M01619	Solyc05g050790.3	Ethylene-responsive transcription factor 1 (AHRD V3.3 *** A0A2G2WT19_CAPBA)	AP2	AT2G44840	ATERF13
M01619	Solyc05g051180.3	Ethylene-responsive transcription factor 1B (AHRD V3.3 *-* A0A2G2ZIK8_CAPAN)	AP2	AT3G23240	ATERF1
M01619	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M01619	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M01619	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01619	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01619	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M01619	Solyc09g066350.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X630_CAPBA)	AP2	AT3G23230	AtERF98
M01619	Solyc09g066360.1	Ethylene Response Factor C.3	AP2	AT3G23240	ATERF1
M01619	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M01619	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M01619	Solyc09g089930.3	ethylene responsive factor E.2	AP2	AT3G23240	ATERF1
M01619	Solyc11g006050.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M01619	Solyc11g011740.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M01619	Solyc11g011750.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2Y507_CAPAN)	AP2	AT3G23240	ATERF1
M01619	Solyc11g045680.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X995_CAPBA)	AP2	AT5G13910	LEP
M01619	Solyc11g045690.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2X995_CAPBA)	AP2	AT1G28160	AT1G28160
M01620	Solyc03g120840.3	Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2WP67_CAPBA)	AP2	AT5G11590	TINY2
M01620	Solyc06g066540.1	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2XMU8_CAPBA)	AP2	AT5G11590	TINY2
M01620	Solyc08g066660.1	Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2W633_CAPBA)	AP2	AT5G11590	TINY2
M01620	Solyc12g008350.3	dehydration responsive element binding protein 2	AP2	AT5G11590	TINY2
M01620	Solyc12g044390.3	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G3BNS6_CAPCH)	AP2	AT5G11590	TINY2
M01621	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01621	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01621	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M01621	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M01621	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M01621	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M01621	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01621	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M01621	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M01621	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M01621	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01621	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01621	Solyc08g078180.1	Ethylene Response Factor A.1	AP2	AT4G17500	ATERF-1
M01621	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M01621	Solyc09g066360.1	Ethylene Response Factor C.3	AP2	AT3G23240	ATERF1
M01621	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M01621	Solyc11g011750.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2Y507_CAPAN)	AP2	AT3G23240	ATERF1
M01622	Solyc03g123500.4	GCC box binding protein C.4	AP2	AT3G14230	RAP2.2
M01622	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M01622	Solyc09g075420.3	ethylene response factor E.1	AP2	AT2G47520	AtERF71
M01622	Solyc01g065980.4	Ethylene Response Factor E.4	AP2	AT3G16770	ATEBP
M01622	Solyc01g095500.3	Sl Cytokinin Response Factor 5	AP2	AT3G61630	CRF6
M01622	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M01622	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01622	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01622	Solyc02g090770.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A6X8_CAPAN)	AP2	AT5G50080	ERF110
M01622	Solyc02g090790.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT4G34410	RRTF1
M01622	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M01622	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M01622	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01622	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M01622	Solyc04g014530.1	Ethylene Response Factor C.2	AP2	AT3G23240	ATERF1
M01622	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M01622	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M01622	Solyc06g063070.3	Ethylene Response Factor  A.3	AP2	AT1G53910	RAP2.12
M01622	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M01622	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M01622	Solyc07g049490.3	Ethylene Response Factor F.3	AP2	AT3G20310	ATERF-7
M01622	Solyc07g053740.1	Ethylene Response Factor F.4	AP2	AT3G15210	ATERF-4
M01622	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M01622	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M01622	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M01622	Solyc10g050970.1	Ethylene Response Factor D.4	AP2	AT4G34410	RRTF1
M01622	Solyc11g006050.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M01622	Solyc11g011740.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M01622	Solyc12g049560.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2ZB67_CAPAN)	AP2	AT3G14230	RAP2.2
M01623	Solyc01g009440.3	Dehydration-responsive element-binding protein 1B (AHRD V3.3 *** A0A2G2XQ55_CAPBA)	AP2	AT4G25490	ATCBF1
M01623	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25480	ATCBF3
M01623	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25490	ATCBF1
M01623	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25470	ATCBF2
M01623	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25490	ATCBF1
M01623	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25480	ATCBF3
M01623	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25470	ATCBF2
M01623	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25470	ATCBF2
M01623	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25480	ATCBF3
M01623	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25490	ATCBF1
M01623	Solyc08g007820.1	Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA)	AP2	AT5G51990	CBF4
M01624	Solyc01g009440.3	Dehydration-responsive element-binding protein 1B (AHRD V3.3 *** A0A2G2XQ55_CAPBA)	AP2	AT4G25490	ATCBF1
M01624	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25480	ATCBF3
M01624	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25490	ATCBF1
M01624	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25470	ATCBF2
M01624	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25490	ATCBF1
M01624	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25480	ATCBF3
M01624	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25470	ATCBF2
M01624	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25470	ATCBF2
M01624	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25480	ATCBF3
M01624	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25490	ATCBF1
M01624	Solyc08g007820.1	Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA)	AP2	AT5G51990	CBF4
M01625	Solyc01g009440.3	Dehydration-responsive element-binding protein 1B (AHRD V3.3 *** A0A2G2XQ55_CAPBA)	AP2	AT4G25490	ATCBF1
M01625	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25480	ATCBF3
M01625	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25490	ATCBF1
M01625	Solyc03g026270.3	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	AP2	AT4G25470	ATCBF2
M01625	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25490	ATCBF1
M01625	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25480	ATCBF3
M01625	Solyc03g026280.3	C-repeat binding factor 1	AP2	AT4G25470	ATCBF2
M01625	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25470	ATCBF2
M01625	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25480	ATCBF3
M01625	Solyc03g124110.2	Dehydration-responsive element-binding transcription factor (AHRD V3.3 *** A0A1S6M2D0_9CARY)	AP2	AT4G25490	ATCBF1
M01625	Solyc08g007820.1	Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA)	AP2	AT5G51990	CBF4
M01626	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M01626	Solyc09g075420.3	ethylene response factor E.1	AP2	AT2G47520	AtERF71
M01626	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M01626	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01626	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01626	Solyc02g090770.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A6X8_CAPAN)	AP2	AT5G50080	ERF110
M01626	Solyc02g090790.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT4G34410	RRTF1
M01626	Solyc02g090800.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT5G50080	ERF110
M01626	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M01626	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M01626	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01626	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M01626	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M01626	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M01626	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M01626	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M01626	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M01626	Solyc10g050970.1	Ethylene Response Factor D.4	AP2	AT4G34410	RRTF1
M01627	Solyc01g090560.4	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3DJ78_CAPCH)	AP2	AT3G60490	AT3G60490
M01627	Solyc03g120840.3	Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2WP67_CAPBA)	AP2	AT5G11590	TINY2
M01627	Solyc05g050830.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2WT45_CAPBA)	AP2	AT3G60490	AT3G60490
M01627	Solyc06g066540.1	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2XMU8_CAPBA)	AP2	AT5G11590	TINY2
M01627	Solyc08g066660.1	Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2W633_CAPBA)	AP2	AT5G11590	TINY2
M01627	Solyc08g078410.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3AF14_CAPAN)	AP2	AT4G16750	AT4G16750
M01627	Solyc08g078420.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3AF14_CAPAN)	AP2	AT5G25810	tny
M01627	Solyc12g008350.3	dehydration responsive element binding protein 2	AP2	AT5G11590	TINY2
M01627	Solyc12g044390.3	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G3BNS6_CAPCH)	AP2	AT5G11590	TINY2
M01628	Solyc01g090300.2	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	AP2	AT2G44840	ATERF13
M01628	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M01628	Solyc01g090370.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XN61_CAPBA)	AP2	AT2G44840	ATERF13
M01628	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01628	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01628	Solyc03g005520.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2WWE4_CAPBA)	AP2	AT3G23240	ATERF1
M01628	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M01628	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M01628	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M01628	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01628	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M01628	Solyc05g050790.3	Ethylene-responsive transcription factor 1 (AHRD V3.3 *** A0A2G2WT19_CAPBA)	AP2	AT2G44840	ATERF13
M01628	Solyc05g052030.1	ethylene response factor 4	AP2	AT5G07580	AT5G07580
M01628	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M01628	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01628	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01628	Solyc08g078180.1	Ethylene Response Factor A.1	AP2	AT4G17500	ATERF-1
M01628	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M01628	Solyc09g066340.1	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2X5X7_CAPBA)	AP2	AT1G04370	ATERF14
M01628	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M01628	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M01628	Solyc09g089930.3	ethylene responsive factor E.2	AP2	AT3G23240	ATERF1
M01629	Solyc03g123500.4	GCC box binding protein C.4	AP2	AT3G14230	RAP2.2
M01629	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M01629	Solyc09g075420.3	ethylene response factor E.1	AP2	AT2G47520	AtERF71
M01629	Solyc01g067540.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3DID8_CAPCH)	AP2	AT5G18560	PUCHI
M01629	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M01629	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M01629	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M01629	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M01629	Solyc02g090770.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A6X8_CAPAN)	AP2	AT5G50080	ERF110
M01629	Solyc02g090790.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT4G34410	RRTF1
M01629	Solyc02g090800.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT5G50080	ERF110
M01629	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M01629	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M01629	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M01629	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M01629	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M01629	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M01629	Solyc03g118190.4	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3CZ32_CAPCH)	AP2	AT5G61890	AT5G61890
M01629	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M01629	Solyc04g014530.1	Ethylene Response Factor C.2	AP2	AT3G23240	ATERF1
M01629	Solyc04g051360.3	Ethylene Response Factor D.1	AP2	AT5G64750	ABR1
M01629	Solyc04g071770.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GDL3_CAPAN)	AP2	AT5G50080	ERF110
M01629	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M01629	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M01629	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M01629	Solyc06g063070.3	Ethylene Response Factor  A.3	AP2	AT1G53910	RAP2.12
M01629	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M01629	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M01629	Solyc07g053740.1	Ethylene Response Factor F.4	AP2	AT3G15210	ATERF-4
M01629	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01629	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M01629	Solyc08g078180.1	Ethylene Response Factor A.1	AP2	AT4G17500	ATERF-1
M01629	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M01629	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M01629	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
